4
50 100
0 477013
1 2011800
2 428284
3 424630
4 2098874
5 2399555
6 2309927
7 1543747
8 1891957
9 1525759
10 2128352
11 2186214
12 28257
13 884208
14 1508233
15 1419685
16 2338601
17 1857155
18 906432
19 883235
20 1240495
21 1913041
22 1420269
23 1699851
24 1646000
25 1003903
26 2151122
27 1667907
28 1887807
29 1467370
30 2010008
31 669362
32 527887
33 2415091
34 1403575
35 1890501
36 1461460
37 2120602
38 1712499
39 899325
40 389228
41 1528031
42 668664
43 2192148
44 1271139
45 2099575
46 479841
47 872065
48 1648151
18 460321
19 185875
20 2194695
21 630764
22 1386317
23 1871546
24 1892174
25 117513
26 393417
27 1651211
28 77022
29 2276969
30 1042114
31 638663
32 1730534
33 1568885
34 2154294
35 433318
36 1417631
37 941018
38 384734
39 1326379
40 439569
41 2182038
42 1347382
43 115270
44 2192776
45 1249094
46 2269078
47 710584
48 1850292
41 26 217
23 39 172
8 11 122
35 16 245
34 4 246
33 2 274
5 33 189
40 9 189
49 9 214
31 37 271
4 28 283
15 49 144
32 45 219
10 11 274
11 17 204
12 18 199
31 44 103
22 44 192
41 8 126
40 20 238
37 32 168
19 7 206
29 43 237
19 34 154
43 46 210
28 13 236
18 5 125
3 20 147
19 35 106
32 49 214
27 36 173
36 48 164
27 35 140
30 24 77
46 8 169
28 1 109
27 34 92
7 24 157
34 14 152
9 41 154
17 23 186
48 15 61
31 2 139
12 38 173
14 1 86
47 34 123
39 20 135
29 38 85
12 29 117
14 4 119
11 9 56
10 43 160
17 48 62
15 17 126
48 12 138
27 5 74
20 15 62
28 32 84
46 24 75
11 17 85
35 47 87
26 10 132
36 31 87
42 11 40
37 40 89
38 41 68
8 21 58
21 6 93
17 30 76
13 4 85
14 33 64
45 32 97
24 31 90
28 18 79
10 18 52
37 17 74
42 23 49
12 24 43
16 16 80
25 37 54
20 35 23
41 28 29
10 8 24
32 36 18
28 23 53
47 5 58
38 48 48
45 5 41
22 15 35
21 42 13
17 8 21
43 8 29
9 14 31
1 47 34
47 38 18
30 24 11
9 12 23
23 13 24
16 38 4
48 35 11
50 100
0 184134
1 49267
2 472281
3 451691
4 731838
5 567224
6 754753
7 1965693
8 1552246
9 773762
10 2182261
11 1010466
12 1841151
13 184465
14 345364
15 204441
16 320942
17 1991801
18 953344
19 1875400
20 2144334
21 473459
22 667063
23 631863
24 948959
25 167179
26 1187085
27 2057571
28 811154
29 1821363
30 1157266
31 842056
32 1527202
33 885073
34 1366952
35 862247
36 536643
37 746226
38 759080
39 1724012
40 1407775
41 191598
42 804863
43 2029661
44 1431249
45 1700288
46 1410267
47 1998512
48 844319
38 36 151
9 25 217
42 33 157
4 25 171
5 30 239
47 0 121
42 45 213
29 39 275
37 40 145
35 6 175
39 31 285
48 13 208
19 5 99
7 2 111
29 44 166
29 46 232
12 36 139
11 47 170
36 20 171
9 7 221
37 12 207
8 18 181
32 44 229
16 1 149
24 42 231
29 16 117
9 10 115
37 41 106
34 14 204
8 24 157
4 42 132
1 17 81
46 30 78
22 24 195
41 13 114
37 39 121
38 19 150
5 7 74
20 34 187
9 33 158
6 9 87
0 42 74
49 5 79
44 17 141
43 19 102
0 40 122
19 46 107
41 15 63
48 34 122
29 46 160
32 5 102
39 43 68
17 37 77
0 10 143
7 29 149
21 9 48
15 42 85
40 1 103
48 23 90
21 17 121
14 48 65
11 41 122
14 34 101
33 6 58
33 33 103
14 2 79
11 42 64
44 5 47
27 29 99
29 4 101
31 40 59
5 20 87
14 38 87
38 38 89
44 16 73
29 18 34
29 26 78
41 37 47
38 49 22
19 29 51
14 24 46
18 8 19
38 0 45
10 11 53
16 26 25
48 9 47
23 38 19
25 4 22
40 29 19
34 13 14
6 33 23
9 42 21
41 8 19
30 1 7
19 12 12
3 5 7
38 18 19
33 35 13
41 18 20
23 48 14
